Time [s],Channel 0,Channel 1
96.308008350,0,0
96.310989370,1,0
96.328229320,1,1
96.331140370,0,1
96.348742520,0,0
96.351760850,1,0
96.368294780,1,1
96.371215090,0,1
96.388068110,0,0
96.391155590,1,0
96.408049030,1,1
96.410951320,0,1
96.428052680,0,0
96.431035800,1,0
96.448082580,1,1
96.450941030,0,1
96.468105690,0,0
96.471090260,1,0
96.488455800,1,1
96.491368890,0,1
96.507995580,0,0
96.510982960,1,0
96.528181560,1,1
96.531069530,0,1
96.548052100,0,0
96.551173280,1,0
96.568038290,1,1
96.570934100,0,1
96.588099030,0,0
96.591105940,1,0
96.608088860,1,1
96.610981840,0,1
96.628014470,0,0
96.630989700,1,0
96.648125680,1,1
96.651024380,0,1
96.667918450,0,0
96.670924240,1,0
96.688079980,1,1
96.690972530,0,1
96.709494880,0,0
96.712747390,1,0
96.728140610,1,1
96.731048670,0,1
96.748079230,0,0
96.751099430,1,0
96.768127010,1,1
96.771031000,0,1
96.788040470,0,0
96.790969780,1,0
96.808068670,1,1
96.810968980,0,1
96.828027520,0,0
96.831030220,1,0
96.848084640,1,1
96.850943950,0,1
96.868148670,0,0
96.871883820,1,0
96.888095520,1,1
96.891051660,0,1
96.908187090,0,0
96.911738390,1,0
96.928124620,1,1
96.930993270,0,1
96.947893240,0,0
96.950815370,1,0
96.968129380,1,1
96.971120930,0,1
96.987956940,0,0
96.991029970,1,0
97.008007650,1,1
97.010890140,0,1
97.028169800,0,0
97.031354740,1,0
97.048135470,1,1
97.051035430,0,1
97.068061950,0,0
97.071062630,1,0
97.088158060,1,1
97.091065800,0,1
97.108039430,0,0
97.111025270,1,0
97.128155190,1,1
97.131035540,0,1
97.147975210,0,0
97.151064490,1,0
97.168185470,1,1
97.172112670,0,1
97.188031860,0,0
97.191265980,1,0
97.208057460,1,1
97.210960960,0,1
97.228218660,0,0
97.231172410,1,0
97.248079310,1,1
97.250977040,0,1
97.267969440,0,0
97.271021710,1,0
97.288175830,1,1
97.291055420,0,1
97.308080940,0,0
97.311052920,1,0
97.328096080,1,1
97.330978320,0,1
97.348016480,0,0
97.351131500,1,0
97.368098160,1,1
97.370975570,0,1
97.388179170,0,0
97.391165500,1,0
97.408161660,1,1
97.411052470,0,1
97.428070060,0,0
